캠페인ID,유형,매체,채널,시작일,종료일,대상카테고리,대상SKU,광고비,할인율,비고
CMP-2606-01,콜라보런칭,메타+구글,자사몰,2026-06-12,2026-06-13,아트에디션,"AE05,AE06",4500000,0.00,쿠사마 야요이 〈호박〉 콜라보 에디션 런칭 (강하영 광고 집행)
CMP-2606-02,프로모션,무신사 부스팅,"자사몰,무신사",2026-06-05,2026-06-07,리빙,"LD01,LD02,LG01,LG04",1800000,0.15,여름 테이블웨어 기획전 (황나영 리빙아트 기획)
CMP-2606-03,채널세일,신세계몰 광고,신세계몰,2026-06-20,2026-06-22,리빙-도자,"LD03,LD04,LD05",1200000,0.20,신세계몰 여름 리빙 정기세일
CMP-2606-04,광고부스팅,메타+구글,자사몰,2026-06-18,2026-06-19,리빙-글라스,"LG02,LG03,LG01",2200000,0.00,버블 컬렉션 퍼포먼스 광고 (강하영 광고 집행)
CMP-2606-05,프로모션,메타,"자사몰,오프라인-백화점",2026-06-26,2026-06-27,아트에디션,"AE03,AE04",3000000,0.10,김환기 점화 에디션 프로모션 (이번 주)
AON-2601-PB,상시광고,메타,자사몰,2026-05-26,2026-06-01,리빙,,460000,0.00,1주차 상시 메타 운영
AON-2601-PB,상시광고,구글 검색,자사몰,2026-05-26,2026-06-01,전체,,361000,0.00,1주차 상시 구글 검색 운영
AON-2601-MS,상시광고,무신사 노출,무신사,2026-05-26,2026-06-01,리빙,,300000,0.00,1주차 상시 무신사 노출 운영
AON-2601-SG,상시광고,신세계몰 노출,신세계몰,2026-05-26,2026-06-01,리빙-도자,,202000,0.00,1주차 상시 신세계몰 노출 운영
AON-2602-PB,상시광고,메타,자사몰,2026-06-02,2026-06-08,리빙,,420000,0.00,2주차 상시 메타 운영
AON-2602-PB,상시광고,구글 검색,자사몰,2026-06-02,2026-06-08,전체,,396000,0.00,2주차 상시 구글 검색 운영
AON-2602-MS,상시광고,무신사 노출,무신사,2026-06-02,2026-06-08,리빙,,325000,0.00,2주차 상시 무신사 노출 운영
AON-2602-SG,상시광고,신세계몰 노출,신세계몰,2026-06-02,2026-06-08,리빙-도자,,197000,0.00,2주차 상시 신세계몰 노출 운영
AON-2603-PB,상시광고,메타,자사몰,2026-06-09,2026-06-15,리빙,,515000,0.00,3주차 상시 메타 운영
AON-2603-PB,상시광고,구글 검색,자사몰,2026-06-09,2026-06-15,전체,,373000,0.00,3주차 상시 구글 검색 운영
AON-2603-MS,상시광고,무신사 노출,무신사,2026-06-09,2026-06-15,리빙,,295000,0.00,3주차 상시 무신사 노출 운영
AON-2603-SG,상시광고,신세계몰 노출,신세계몰,2026-06-09,2026-06-15,리빙-도자,,205000,0.00,3주차 상시 신세계몰 노출 운영
AON-2604-PB,상시광고,메타,자사몰,2026-06-16,2026-06-22,리빙,,430000,0.00,4주차 상시 메타 운영
AON-2604-PB,상시광고,구글 검색,자사몰,2026-06-16,2026-06-22,전체,,436000,0.00,4주차 상시 구글 검색 운영
AON-2604-MS,상시광고,무신사 노출,무신사,2026-06-16,2026-06-22,리빙,,280000,0.00,4주차 상시 무신사 노출 운영
AON-2604-SG,상시광고,신세계몰 노출,신세계몰,2026-06-16,2026-06-22,리빙-도자,,251000,0.00,4주차 상시 신세계몰 노출 운영
AON-2605-PB,상시광고,메타,자사몰,2026-06-23,2026-06-28,리빙,,431000,0.00,5주차 상시 메타 운영
AON-2605-PB,상시광고,구글 검색,자사몰,2026-06-23,2026-06-28,전체,,346000,0.00,5주차 상시 구글 검색 운영
AON-2605-MS,상시광고,무신사 노출,무신사,2026-06-23,2026-06-28,리빙,,309000,0.00,5주차 상시 무신사 노출 운영
AON-2605-SG,상시광고,신세계몰 노출,신세계몰,2026-06-23,2026-06-28,리빙-도자,,237000,0.00,5주차 상시 신세계몰 노출 운영
PRM-2606-01,프로모션,자체,자사몰,2026-06-02,2026-06-08,리빙-문구,"LP01,LP03,LP05",200000,0.10,문구 묶음 쿠폰
PRM-2606-02,프로모션,자체,무신사,2026-06-09,2026-06-12,리빙-텍스타일,LT04,300000,0.12,에코백 단독전
PRM-2606-03,프로모션,자체,자사몰,2026-06-14,2026-06-16,리빙-도자,LD02,0,0.00,머그 1+1
PRM-2606-04,프로모션,자체,오프라인-백화점,2026-06-10,2026-06-13,리빙-텍스타일,LT01,200000,0.05,스카프 백화점 행사
PRM-2606-05,프로모션,자체,신세계몰,2026-06-23,2026-06-26,리빙-글라스,LG03,150000,0.15,텀블러 여름 쿨딜
PRM-2606-06,프로모션,자체,자사몰,2026-05-26,2026-05-31,리빙-문구,"LP03,LP06",150000,0.10,아트노트 신학기
PRM-2606-07,프로모션,자체,오프라인-직영,2026-06-16,2026-06-22,리빙-도자,LD03,0,0.00,화병 단독 큐레이션
