SKU,카테고리,상품명,시즌,유형,정가,자사몰판매가,원가,재고수량,월판매량,출시일
FR01,홈프래그런스,무아레 화이트무스크 캔들,사계절,스테디셀러,38000,36000,15000,80,247,2025-03-02
FR02,홈프래그런스,무아레 우드세이지 캔들,사계절,스테디셀러,38000,36000,15000,70,104,2025-03-02
FR03,홈프래그런스,무아레 시트러스 캔들,여름,시즌한정,42000,39000,16000,60,240,2026-06-05
FR04,홈프래그런스,무아레 화이트무스크 디퓨저,사계절,스테디셀러,48000,45000,19000,55,286,2025-03-02
FR05,홈프래그런스,무아레 오션브리즈 디퓨저,여름,신제품,52000,48000,21000,90,273,2026-06-12
FR06,홈프래그런스,무아레 리넨 룸스프레이,사계절,스테디셀러,26000,24000,9500,120,145,2025-05-10
FR07,홈프래그런스,무아레 디퓨저 리필 200ml,사계절,스테디셀러,22000,20000,7500,140,150,2025-05-10
FR08,홈프래그런스,무아레 미니 캔들 3종세트,사계절,스테디셀러,34000,32000,12500,100,160,2025-09-01
TW01,테이블웨어,무아레 스톤 머그,사계절,스테디셀러,22000,21000,9000,150,304,2025-04-01
TW02,테이블웨어,무아레 웨이브 머그,여름,신제품,24000,23000,9800,130,333,2026-06-12
TW03,테이블웨어,무아레 스톤 플레이트 2P,사계절,스테디셀러,32000,30000,13500,90,294,2025-04-01
TW04,테이블웨어,무아레 웨이브 플레이트 2P,여름,신제품,34000,32000,14500,80,240,2026-06-12
TW05,테이블웨어,무아레 스톤 보울,사계절,스테디셀러,26000,25000,10800,85,292,2025-04-01
TW06,테이블웨어,무아레 글라스 컵 4P,여름,시즌한정,39000,37000,15500,70,208,2026-06-05
TW07,테이블웨어,무아레 세라믹 티팟,사계절,스테디셀러,46000,44000,19000,40,78,2025-10-01
FB01,패브릭,무아레 코튼 블랭킷,겨울,스테디셀러,89000,85000,38000,30,64,2024-11-01
FB02,패브릭,무아레 린넨 테이블러너,사계절,스테디셀러,32000,30000,13000,75,273,2025-04-01
FB03,패브릭,무아레 워시드 쿠션커버,사계절,스테디셀러,29000,27000,11500,95,316,2025-04-01
FB04,패브릭,무아레 린넨 앞치마,사계절,스테디셀러,34000,32000,14000,60,164,2025-06-01
FB05,패브릭,무아레 웨이브 테이블러너,여름,신제품,34000,32000,13800,70,178,2026-06-12
FB06,패브릭,무아레 코튼 플레이스매트 2P,사계절,스테디셀러,24000,22000,9200,90,122,2025-04-01
ST01,문구,무아레 데일리 다이어리,사계절,스테디셀러,22000,21000,7000,110,280,2025-11-01
ST02,문구,무아레 그리드 노트,사계절,스테디셀러,12000,11000,3800,220,229,2025-04-01
ST03,문구,무아레 아트 엽서세트,사계절,스테디셀러,9000,8500,2800,300,278,2025-04-01
ST04,문구,무아레 마스킹테이프 세트,사계절,스테디셀러,5500,5000,1700,400,254,2025-04-01
ST05,문구,무아레 실링스티커,사계절,스테디셀러,6500,6000,2100,280,219,2025-04-01
ST06,문구,무아레 데스크 캘린더,사계절,시즌한정,16000,15000,5200,60,108,2025-12-01
