order_id,주문일,채널,sku,제품명,맛,수량,판매단가,판매금액,주문상태,배송지역,기획전,배송비
CPG-260501-001,2026-05-01,쿠팡,GRN-CRN-01,그래놀라 크런치,-,1,7000,7000,배송완료,대구,,0
CPG-260501-001,2026-05-01,쿠팡,SLM-SHK-35,슬림쉐이크 9종 35입,초당옥수수,1,91700,91700,배송완료,대구,,0
CPG-260501-002,2026-05-01,쿠팡,GRN-CRN-01,그래놀라 크런치,-,1,7000,7000,배송완료,광주,,0
CPG-260501-003,2026-05-01,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,45800,45800,배송완료,대전,,0
CPG-260501-004,2026-05-01,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,45800,45800,교환,광주,,0
CPG-260501-005,2026-05-01,쿠팡,PRO-MAX-12,프로틴 드링크 맥스 12입,초코,1,40700,40700,배송완료,광주,,0
CPG-260501-005,2026-05-01,쿠팡,PRO-MAX-12,프로틴 드링크 맥스 12입,커피,1,40700,40700,배송완료,광주,,0
CPG-260501-006,2026-05-01,쿠팡,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,2,35600,71200,배송완료,인천,,0
CPG-260501-006,2026-05-01,쿠팡,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,1,35600,35600,배송완료,인천,,0
CPG-260501-007,2026-05-01,쿠팡,SLM-SHK-21,슬림쉐이크 9종 21입,바나나,1,64200,64200,결제완료,경기,,0
CPG-260501-008,2026-05-01,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,바나나,1,45800,45800,배송완료,인천,,0
CPG-260501-008,2026-05-01,쿠팡,GRN-CRN-01,그래놀라 크런치,-,1,7000,7000,배송완료,인천,,0
CPG-260501-009,2026-05-01,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,초코,1,45800,45800,결제완료,광주,,0
CPG-260501-010,2026-05-01,쿠팡,PRO-MAX-12,프로틴 드링크 맥스 12입,오리지널,1,40700,40700,배송완료,인천,,0
CPG-260501-011,2026-05-01,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,45800,45800,배송완료,대구,,0
CPG-260501-012,2026-05-01,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,오리지널,1,45800,45800,배송완료,광주,,0
CPG-260501-013,2026-05-01,쿠팡,SLM-SHK-35,슬림쉐이크 9종 35입,얼그레이밀크티,1,91700,91700,배송완료,부산,,0
CPG-260501-014,2026-05-01,쿠팡,CRN-SHK-10,크런치 단백질 셰이크 10회분,-,2,35600,71200,결제완료,서울,,0
CPG-260501-014,2026-05-01,쿠팡,SLM-SHK-35,슬림쉐이크 9종 35입,딸기,1,91700,91700,결제완료,서울,,0
CPG-260501-015,2026-05-01,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,커피,1,45800,45800,배송완료,기타,,0
CPG-260501-015,2026-05-01,쿠팡,PRO-MAX-12,프로틴 드링크 맥스 12입,초코,1,40700,40700,배송완료,기타,,0
CPG-260501-016,2026-05-01,쿠팡,PRO-PFT-12,프로틴 드링크 퍼펙트 12입,딸기,1,45800,45800,결제완료,대구,,0
